Tarih,y,reer,rk,x,mh,ystar
2013-12,0.5279,-1.7754,3.7106,-7.6504,1.1851,-0.090254814
2014-01,-13.258,-3.7306,3.0607,-5.5322,-1.2072,0.32281556
2014-02,-4.775,2.1941,0.3078,4.8476,-0.0547,0.314142222
2014-03,12.632,0.47,0.5765,12.9729,0.6022,0.343742509
2014-04,-1.0651,4.6885,0.4225,-9.2654,-1.2062,-0.02865857
2014-05,1.4749,1.2897,0.6225,2.1852,-0.6977,-0.122988458
2014-06,1.5383,-0.752,2.9836,-5.9424,0.1202,0.092886356
2014-07,-5.2973,0.4243,0.9838,5.0281,-0.4524,0.566453367
2014-08,-1.4342,0,0.8545,-12.7316,-0.9461,-1.149404695
2014-09,14.5064,0.8752,3.8532,16.346,-0.9739,0.85961362
2014-10,-9.697,0.2992,4.0477,-6.1364,-2.0331,-0.052631764
2014-11,8.346,2.5452,1.5766,1.5143,-1.7278,0.240538217
2014-12,8.4024,-0.5042,3.3736,0.9753,-3.1628,0.408491829
2015-01,-20.0645,3.4789,1.3092,-8.9915,-5.0817,-0.263682575
2015-02,-2.9402,-2.0812,2.5528,-0.2809,-1.3678,0.06697539
2015-03,18.401,-2.1254,2.7085,2.8565,-1.3651,0.078688905
2015-04,-0.4114,-1.3363,2.4454,6.7945,-2.9657,-0.211613623
2015-05,-0.4332,-1.2051,0.9003,-15.8165,0.283,-0.139345835
2015-06,5.7472,-1.4718,2.2706,7.9976,-0.5644,0.318612626
2015-07,-9.0231,1.504,2.0942,-6.3083,-2.5656,0.287728514
2015-08,6.8258,-3.0541,1.778,-1.3048,-2.7846,-0.314606742
2015-09,-4.4403,-3.1192,1.6768,4.1186,-2.9362,0.410069598
2015-10,11.9823,2.0605,-0.9625,13.202,-0.926,-0.233866311
2015-11,-1.1041,3.9222,0.0485,-11.1159,-2.0563,-0.4044424
2015-12,8.7822,-1.1737,1.0645,-0.4206,-2.8375,-0.369241763
2016-01,-21.8934,-0.3583,0.802,-18.8627,-5.3693,1.277026783
2016-02,4.9053,1.4797,0.8034,30.3564,-0.346,-0.561154523
2016-03,11.0636,1.0834,0.0717,3.7558,0.3749,-0.440242465
2016-04,-3.4959,0.2905,0.2734,-6.9583,0.1384,0.31821371
2016-05,4.3042,-2.0875,2.543,1.265,3.3435,-0.525434337
2016-06,0.2427,0.7651,1.0772,6.2696,2.139,0.496708728
2016-07,-19.0649,-0.2936,0.7282,-22.941,-1.1387,-0.269585668
2016-08,21.3924,-1.1372,0.4767,19.2747,-0.5561,0.680228719
2016-09,-11.3944,0.2157,1.192,-6.9981,0.5192,-0.121922308
2016-10,20.9051,-2.1931,1.5396,16.8829,1.5497,0.504241573
2016-11,0.6283,-2.1689,3.9047,-0.6068,-1.8651,0.634978913
2016-12,3.3943,-2.5597,1.609,0.1936,2.4854,0.059853138
2017-01,-17.6646,-4.5505,3.8685,-11.6436,2.6196,0.118747758
2017-02,-0.7747,1.7964,-0.6938,7.409,1.6429,-0.007480602
2017-03,17.9159,1.0294,2.4504,20.0282,0.6838,0.47534908
2017-04,-2.8957,0.7054,1.6193,-11.9113,1.2349,0.720084176
2017-05,3.2003,1.7345,1.7237,6.2722,0.3172,0.105149096
2017-06,-7.55,0.5683,1.6463,-3.5538,-0.2675,-0.004664066
2017-07,7.0802,-2.0104,1.2686,-3.6052,0.1585,0.402294439
2017-08,1.148,-0.366,0.6304,5.5464,1.2051,0.496594683
2017-09,-2.9298,-0.2004,1.8806,-11.1135,2.141,-0.102757404
